employee_id,snapshot_month,active_flag,fte
E0001,2024-04-01,1,1.0
E0001,2024-05-01,1,1.0
E0001,2024-06-01,1,1.0
E0001,2024-07-01,1,1.0
E0001,2024-08-01,1,1.0
E0001,2024-09-01,1,1.0
E0001,2024-10-01,1,1.0
E0001,2024-11-01,1,1.0
E0001,2024-12-01,1,1.0
E0001,2025-01-01,1,1.0
E0001,2025-02-01,1,1.0
E0001,2025-03-01,1,1.0
E0001,2025-04-01,1,1.0
E0001,2025-05-01,1,1.0
E0001,2025-06-01,1,1.0
E0001,2025-07-01,1,1.0
E0001,2025-08-01,1,1.0
E0001,2025-09-01,1,1.0
E0001,2025-10-01,1,1.0
E0001,2025-11-01,1,1.0
E0001,2025-12-01,1,1.0
E0002,2023-06-01,1,1.0
E0002,2023-07-01,1,1.0
E0002,2023-08-01,1,1.0
E0002,2023-09-01,1,1.0
E0002,2023-10-01,1,1.0
E0002,2023-11-01,1,1.0
E0002,2023-12-01,1,1.0
E0002,2024-01-01,1,1.0
E0002,2024-02-01,1,1.0
E0002,2024-03-01,1,1.0
E0002,2024-04-01,1,1.0
E0002,2024-05-01,1,1.0
E0002,2024-06-01,1,1.0
E0002,2024-07-01,1,1.0
E0002,2024-08-01,1,1.0
E0002,2024-09-01,1,1.0
E0002,2024-10-01,1,1.0
E0002,2024-11-01,1,1.0
E0002,2024-12-01,1,1.0
E0002,2025-01-01,1,1.0
E0002,2025-02-01,1,1.0
E0002,2025-03-01,1,1.0
E0002,2025-04-01,1,1.0
E0002,2025-05-01,1,1.0
E0002,2025-06-01,1,1.0
E0002,2025-07-01,1,1.0
E0002,2025-08-01,1,1.0
E0002,2025-09-01,1,1.0
E0002,2025-10-01,1,1.0
E0002,2025-11-01,1,1.0
E0002,2025-12-01,1,1.0
E0003,2023-01-01,1,1.0
E0003,2023-02-01,1,1.0
E0003,2023-03-01,1,1.0
E0003,2023-04-01,1,1.0
E0003,2023-05-01,1,1.0
E0003,2023-06-01,1,1.0
E0003,2023-07-01,1,1.0
E0003,2023-08-01,1,1.0
E0003,2023-09-01,1,1.0
E0003,2023-10-01,1,1.0
E0003,2023-11-01,1,1.0
E0003,2023-12-01,1,1.0
E0003,2024-01-01,1,1.0
E0003,2024-02-01,1,1.0
E0003,2024-03-01,1,1.0
E0003,2024-04-01,1,1.0
E0003,2024-05-01,1,1.0
E0003,2024-06-01,1,1.0
E0003,2024-07-01,1,1.0
E0003,2024-08-01,1,1.0
E0003,2024-09-01,1,1.0
E0003,2024-10-01,1,1.0
E0003,2024-11-01,1,1.0
E0003,2024-12-01,1,1.0
E0003,2025-01-01,1,1.0
E0003,2025-02-01,1,1.0
E0003,2025-03-01,1,1.0
E0003,2025-04-01,1,1.0
E0003,2025-05-01,1,1.0
E0003,2025-06-01,1,1.0
E0003,2025-07-01,1,1.0
E0003,2025-08-01,1,1.0
E0003,2025-09-01,1,1.0
E0003,2025-10-01,1,1.0
E0003,2025-11-01,1,1.0
E0003,2025-12-01,1,1.0
E0004,2023-01-01,1,1.0
E0004,2023-02-01,1,1.0
E0004,2023-03-01,1,1.0
E0004,2023-04-01,1,1.0
E0004,2023-05-01,1,1.0
E0004,2023-06-01,1,1.0
E0004,2023-07-01,1,1.0
E0004,2023-08-01,1,1.0
E0004,2023-09-01,1,1.0
E0004,2023-10-01,1,1.0
E0004,2023-11-01,1,1.0
E0004,2023-12-01,1,1.0
E0004,2024-01-01,1,1.0
E0004,2024-02-01,1,1.0
E0004,2024-03-01,1,1.0
E0004,2024-04-01,1,1.0
E0004,2024-05-01,1,1.0
E0004,2024-06-01,1,1.0
E0004,2024-07-01,1,1.0
E0004,2024-08-01,1,1.0
E0004,2024-09-01,1,1.0
E0004,2024-10-01,1,1.0
E0004,2024-11-01,1,1.0
E0004,2024-12-01,1,1.0
E0004,2025-01-01,1,1.0
E0004,2025-02-01,1,1.0
E0004,2025-03-01,1,1.0
E0004,2025-04-01,1,1.0
E0004,2025-05-01,1,1.0
E0004,2025-06-01,1,1.0
E0004,2025-07-01,1,1.0
E0004,2025-08-01,1,1.0
E0004,2025-09-01,1,1.0
E0004,2025-10-01,1,1.0
E0004,2025-11-01,1,1.0
E0004,2025-12-01,1,1.0
E0005,2023-01-01,1,1.0
E0005,2023-02-01,1,1.0
E0005,2023-03-01,1,1.0
E0005,2023-04-01,1,1.0
E0005,2023-05-01,1,1.0
E0005,2023-06-01,1,1.0
E0005,2023-07-01,1,1.0
E0005,2023-08-01,1,1.0
E0005,2023-09-01,1,1.0
E0005,2023-10-01,1,1.0
E0005,2023-11-01,1,1.0
E0005,2023-12-01,1,1.0
E0005,2024-01-01,1,1.0
E0005,2024-02-01,1,1.0
E0005,2024-03-01,1,1.0
E0005,2024-04-01,1,1.0
E0005,2024-05-01,1,1.0
E0005,2024-06-01,1,1.0
E0005,2024-07-01,1,1.0
E0005,2024-08-01,1,1.0
E0005,2024-09-01,1,1.0
E0005,2024-10-01,1,1.0
E0005,2024-11-01,1,1.0
E0005,2024-12-01,1,1.0
E0005,2025-01-01,1,1.0
E0005,2025-02-01,1,1.0
E0005,2025-03-01,1,1.0
E0005,2025-04-01,1,1.0
E0005,2025-05-01,1,1.0
E0005,2025-06-01,1,1.0
E0005,2025-07-01,1,1.0
E0005,2025-08-01,1,1.0
E0005,2025-09-01,1,1.0
E0005,2025-10-01,1,1.0
E0005,2025-11-01,1,1.0
E0005,2025-12-01,1,1.0
E0006,2023-01-01,1,1.0
E0006,2023-02-01,1,1.0
E0006,2023-03-01,1,1.0
E0006,2023-04-01,1,1.0
E0006,2023-05-01,1,1.0
E0006,2023-06-01,1,1.0
E0006,2023-07-01,1,1.0
E0006,2023-08-01,1,1.0
E0006,2023-09-01,1,1.0
E0006,2023-10-01,1,1.0
E0006,2023-11-01,1,1.0
E0006,2023-12-01,1,1.0
E0006,2024-01-01,1,1.0
E0006,2024-02-01,1,1.0
E0006,2024-03-01,1,1.0
E0006,2024-04-01,1,1.0
E0006,2024-05-01,1,1.0
E0006,2024-06-01,1,1.0
E0006,2024-07-01,1,1.0
E0006,2024-08-01,1,1.0
E0006,2024-09-01,1,1.0
E0006,2024-10-01,1,1.0
E0006,2024-11-01,1,1.0
E0006,2024-12-01,1,1.0
E0006,2025-01-01,1,1.0
